NAME;TEXT_SHORT;ARTICLE_ID;ORDER_ID;SUPPLIER;PHOTO;SWEIGHT
BL_Clip_CMP_btw_D0_06796303_AL;CLIP Montageplatte, 0 mm, Zink, Schrauben, HV: Exzenter;06796303;175H5A00;Blum;BLUM_175H5A00.jpg;0
BL_CLIP_EX_KMP_D0_02364803;CLIP Montageplatte, 0 mm, Stahl, EXPANDO, HV: Exzenter;02364803;174H7100E;Blum;BLUM_174H7100E.jpg;36
BL_CLIP_INS_KMP_D0_02849483;CLIP Montageplatte, 0 mm, Stahl, INSERTA, HV: Exzenter;02849483;174H7100I;Blum;BLUM_174H7100I.jpg;48
BL_CLIP_KMP_D0_zS_02364473;CLIP Montageplatte, 0 mm, Stahl, Spax-Schrauben, HV: Exzenter;02364473;173H7100;Blum;BLUM_173H7100.jpg;30
BL_CLIP_KMP_D6_zS_04974013;CLIP Montageplatte, 6 mm, Zink, Systemschrauben, HV: 2-teilig;04974013;175H9160;Blum;BLUM_175H9160.jpg;44
BL_CLIP_KMP_D9_zS_07323383;CLIP Montageplatte, 9 mm, Zink, Systemschrauben, HV: 2-teilig;07323383;175H9190;Blum;BLUM_175H9190.jpg;48
BL_Clip_KMP_ZwS_D0_06796303;CLIP Montageplatte, 0 mm, Zink, Schrauben, HV: Exzenter;06796303;175H5A00;Blum;BLUM_175H5A00.jpg;0
BL_CLIP_MP_D0_zS_08002803;CLIP Montageplatte, 0 mm, Zink, Spax-Schrauben, HV: Exzenter;08002803;175H5400;Blum;BLUM_175H5400.jpg;24
BL_CLIP_MP_ZwS_D0_zS_08002803;CLIP Montageplatte, 0 mm, Zink, Spax-Schrauben, HV: Exzenter;08002803;175H5400;Blum;BLUM_175H5400.jpg;24
BL_CLIP_MPL_0_EXP_HV__03120329;CLIP Montageplatte gerade 20 32 mm 0 mm Stahl EXPANDO HV Exzenter;03120329;177H3100E;Blum;BLUM_177H3100E.jpg;0
BL_CLIP_MPL_0_Spax_Schrau_HV_E;CLIP Montageplatte gerade 20 32 mm 0 mm Stahl Spax Schrauben HV Exzenter;01037431;175H3100;Blum;BLUM_175H3100.jpg;0
BL_CLIP_MPL_0_Spax_screw_HV;CLIP Montageplatte gerade 20 32 mm 0 mm Stahl Spax Schrauben HV Exzenter;01037431;175H3100;Blum;BLUM_175H3100.jpg;0
BL_Clip_TB_BM_INS_08913013;CLIP top BLUMOTION Standardscharnier 110°, 9,5mm gekröpft, mit Feder, Topf: INSE;08913013;71B3690;Blum;BLUM_71B3690.jpg;0
BL_Clip_TB_BM_INS_08914553;CLIP top BLUMOTION Standardscharnier 110°, 18mm gekröpft, mit Feder, Topf: INSER;08914553;71B3790;Blum;BLUM_71B3790.jpg;0
BL_Clip_TB_BM_INS_09348863;CLIP top BLUMOTION Winkelscharnier 45°, 95°, max. aufschl., mit Feder, Topf: INS;09348863;79B9498;Blum;BLUM_79B9498.jpg;0
BL_Clip_TB_BM_INS_09350743;CLIP top BLUMOTION Stollenscharnier 95°, 3mm gekröpft, mit Feder, Topf: INSERTA;09350743;79B9590;Blum;BLUM_79B9590.jpg;0
BL_Clip_TB_BM_zS_09348623;CLIP top BLUMOTION Winkelscharnier 45°, 95°, max. aufschl., mit Feder, Topf: Sch;09348623;79B9458;Blum;BLUM_79B9458.jpg;0
